category,api,time
file,NtCreateFile,1729022592.452875
system,LdrLoadDll,1729022592.468875
file,NtCreateFile,1729022592.468875
system,LdrLoadDll,1729022592.483875
file,NtOpenFile,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.499875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.515875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.530875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.546875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
process,NtAllocateVirtualMemory,1729022592.562875
