category,api,time
file,NtOpenFile,1729696799.857645
process,NtCreateSection,1729696799.857645
system,NtClose,1729696799.857645
synchronisation,GetSystemTimeAsFileTime,1729696799.919645
synchronisation,GetSystemTimeAsFileTime,1729696799.982645
system,LdrLoadDll,1729696799.982645
system,LdrGetProcedureAddress,1729696799.982645
synchronisation,GetSystemTimeAsFileTime,1729696800.482645
synchronisation,GetSystemTimeAsFileTime,1729696800.591645
registry,NtQueryKey,1729696800.591645
registry,NtOpenKeyEx,1729696800.607645
registry,NtQueryValueKey,1729696800.607645
system,NtClose,1729696800.607645
registry,NtQueryKey,1729696800.607645
registry,NtOpenKeyEx,1729696800.607645
registry,NtQueryValueKey,1729696800.607645
system,NtClose,1729696800.622645
system,GetSystemInfo,1729696800.622645
system,LdrGetDllHandle,1729696800.622645
system,LdrGetProcedureAddress,1729696800.653645
registry,NtQueryKey,1729696800.669645
registry,NtOpenKeyEx,1729696800.669645
system,LdrLoadDll,1729696800.685645
system,LdrGetProcedureAddress,1729696800.685645
ole,OleInitialize,1729696801.028645
system,LdrLoadDll,1729696801.028645
system,LdrGetProcedureAddress,1729696801.044645
system,LdrGetProcedureAddress,1729696801.044645
file,NtOpenFile,1729696801.060645
file,NtQueryDirectoryFile,1729696801.060645
file,NtQueryDirectoryFile,1729696801.075645
system,NtClose,1729696801.107645
synchronisation,GetSystemTimeAsFileTime,1729696801.513645
file,GetSystemDirectoryW,1729696801.653645
registry,NtQueryKey,1729696801.669645
registry,NtOpenKeyEx,1729696801.685645
registry,NtQueryKey,1729696801.700645
registry,NtOpenKeyEx,1729696801.716645
synchronisation,GetSystemTimeAsFileTime,1729696801.778645
system,LdrLoadDll,1729696802.482645
system,LdrGetProcedureAddress,1729696802.794645
system,LdrGetDllHandle,1729696802.810645
system,LdrGetProcedureAddress,1729696802.810645
system,LdrGetProcedureAddress,1729696802.825645
system,LdrGetProcedureAddress,1729696802.825645
system,LdrGetProcedureAddress,1729696802.825645
system,LdrLoadDll,1729696802.825645
system,LdrGetProcedureAddress,1729696802.825645
system,LdrGetProcedureAddress,1729696802.825645
system,LdrGetProcedureAddress,1729696802.841645
system,LdrGetProcedureAddress,1729696802.857645
registry,NtQueryKey,1729696802.857645
registry,NtOpenKeyEx,1729696802.872645
registry,NtQueryValueKey,1729696802.888645
system,NtClose,1729696802.888645
registry,NtQueryKey,1729696802.888645
registry,NtOpenKeyEx,1729696802.903645
registry,NtQueryValueKey,1729696802.903645
system,NtClose,1729696802.903645
registry,NtQueryKey,1729696802.903645
registry,NtOpenKeyEx,1729696802.903645
registry,NtQueryValueKey,1729696802.919645
system,NtClose,1729696802.919645
registry,NtQueryKey,1729696802.919645
registry,NtOpenKeyEx,1729696802.950645
registry,NtQueryValueKey,1729696802.950645
system,NtClose,1729696802.950645
registry,NtQueryKey,1729696802.966645
registry,NtOpenKeyEx,1729696802.966645
registry,NtQueryValueKey,1729696802.966645
system,NtClose,1729696802.982645
registry,NtQueryKey,1729696802.982645
registry,NtOpenKeyEx,1729696802.997645
registry,NtQueryValueKey,1729696802.997645
system,NtClose,1729696802.997645
registry,NtQueryKey,1729696803.013645
registry,NtOpenKeyEx,1729696803.013645
registry,NtQueryValueKey,1729696803.028645
system,NtClose,1729696803.028645
registry,NtQueryKey,1729696803.028645
registry,NtOpenKeyEx,1729696803.028645
registry,NtQueryValueKey,1729696803.028645
system,NtClose,1729696803.044645
registry,NtQueryKey,1729696803.044645
registry,NtOpenKeyEx,1729696803.060645
registry,NtQueryValueKey,1729696803.075645
system,NtClose,1729696803.107645
registry,NtQueryKey,1729696803.107645
registry,NtOpenKeyEx,1729696803.107645
registry,NtQueryValueKey,1729696803.107645
system,NtClose,1729696803.107645
registry,NtQueryKey,1729696803.122645
registry,NtOpenKeyEx,1729696803.122645
system,LdrGetProcedureAddress,1729696803.122645
system,LdrGetProcedureAddress,1729696803.122645
system,LdrLoadDll,1729696803.138645
system,LdrGetProcedureAddress,1729696803.138645
system,LdrGetProcedureAddress,1729696803.138645
system,LdrGetProcedureAddress,1729696803.138645
registry,NtQueryKey,1729696803.153645
registry,NtOpenKeyEx,1729696803.169645
registry,NtQueryValueKey,1729696803.169645
system,NtClose,1729696803.169645
registry,NtQueryKey,1729696803.169645
registry,NtOpenKeyEx,1729696803.169645
registry,NtQueryValueKey,1729696803.169645
system,NtClose,1729696803.185645
system,LdrGetProcedureAddress,1729696803.200645
system,LdrGetProcedureAddress,1729696803.200645
system,NtClose,1729696803.216645
registry,NtOpenKeyEx,1729696803.216645
registry,NtQueryKey,1729696803.216645
registry,NtQueryKey,1729696803.232645
registry,NtQueryKey,1729696803.232645
registry,NtOpenKeyEx,1729696803.232645
registry,NtOpenKeyEx,1729696803.232645
registry,NtQueryKey,1729696803.232645
registry,NtQueryKey,1729696803.247645
system,NtClose,1729696803.247645
registry,NtOpenKeyEx,1729696803.263645
registry,NtQueryValueKey,1729696803.263645
registry,NtQueryKey,1729696803.263645
registry,NtQueryKey,1729696803.263645
system,NtClose,1729696803.278645
registry,NtOpenKeyEx,1729696803.278645
registry,NtQueryValueKey,1729696803.278645
registry,NtQueryKey,1729696803.278645
registry,NtQueryKey,1729696803.278645
system,NtClose,1729696803.278645
registry,NtOpenKeyEx,1729696803.294645
registry,NtQueryValueKey,1729696803.310645
registry,NtQueryKey,1729696803.310645
registry,NtQueryKey,1729696803.310645
system,NtClose,1729696803.325645
registry,NtOpenKeyEx,1729696803.341645
registry,NtQueryValueKey,1729696803.341645
registry,NtQueryKey,1729696803.341645
registry,NtQueryKey,1729696803.357645
system,NtClose,1729696803.357645
registry,NtOpenKeyEx,1729696803.372645
registry,NtQueryValueKey,1729696803.372645
registry,NtQueryKey,1729696803.388645
registry,NtQueryKey,1729696803.388645
system,NtClose,1729696803.388645
registry,NtOpenKeyEx,1729696803.388645
registry,NtQueryValueKey,1729696803.388645
registry,NtQueryKey,1729696803.403645
registry,NtQueryKey,1729696803.419645
system,NtClose,1729696803.419645
registry,NtOpenKeyEx,1729696803.419645
registry,NtQueryValueKey,1729696803.435645
registry,NtQueryKey,1729696803.435645
registry,NtQueryKey,1729696803.450645
system,NtClose,1729696803.450645
registry,NtOpenKeyEx,1729696803.466645
registry,NtQueryValueKey,1729696803.482645
registry,NtQueryKey,1729696803.497645
registry,NtQueryKey,1729696803.497645
system,NtClose,1729696803.497645
registry,NtOpenKeyEx,1729696803.497645
registry,NtQueryValueKey,1729696803.497645
registry,NtQueryKey,1729696803.513645
registry,NtQueryKey,1729696803.528645
